term1
"[19, 96, '110']","[16, 11, '17']","[17, 133, 'EC']","[17, 37, '43']",[2]
"[16, 7, '8']","[17, 55, '65']","[17, 46, '56']","[19, 102, '116']",[2]
"[18, 60, '74']","[15, 88, '102']","[19, 94, '108']","[19, 125, '139']",[2]
"[19, 104, '118']","[15, 130, '144']","[18, 63, '77']","[19, 115, '129']",[2]
"[19, 112, '126']","[16, 18, '24']","[17, 31, '37']","[17, 44, '54']",[2]
"[17, 40, '46']","[16, 23, '29']","[17, 48, '58']","[19, 111, '125']",[2]
"[19, 107, '121']","[15, 89, '103']","[18, 73, '87']","[19, 95, '109']",[2]
"[17, 25, '31']","[15, 87, '101']","[17, 56, '66']","[19, 113, '127']",[2]
"[19, 93, '107']","[15, 85, '99']","[17, 57, '67']","[17, 32, '38']",[2]
"[16, 0, '1']","[17, 33, '39']","[18, 80, '94']","[19, 123, '137']",[0]
"[19, 99, '113']","[15, 127, '141']","[16, 17, '23']","[17, 134, 'EC']",[0]
"[19, 122, '136']","[15, 132, '146']","[17, 29, '35']","[18, 82, '96']",[0]
"[17, 38, '44']","[16, 19, '25']","[18, 62, '76']","[19, 97, '111']",[0]
"[17, 45, '55']","[16, 1, '2']","[18, 64, '78']","[19, 109, '123']",[0]
"[18, 75, '89']","[16, 13, '19']","[17, 49, '59']","[19, 101, '115']",[0]
"[18, 72, '86']","[16, 8, '9']","[17, 39, '45']","[19, 119, '133']",[0]
"[16, 20, '26']","[17, 50, '60']","[18, 68, '82']","[19, 105, '119']",[0]
"[16, 2, '3']","[17, 26, '32']","[18, 74, '88']","[19, 106, '120']",[0]
"[18, 77, '91']","[16, 5, '6']","[17, 53, '63']","[19, 110, '124']",[0]
"[17, 42, '48']","[15, 129, '143']","[18, 70, '84']","[19, 116, '130']",[0]
"[16, 22, '28']","[17, 28, '34']","[18, 66, '80']","[19, 126, '140']",[0]
"[19, 90, '104']","[16, 10, '16']","[17, 27, '33']","[18, 78, '92']",[0]
"[18, 59, '73']","[15, 128, '142']","[17, 51, '61']","[19, 124, '138']",[0]
"[16, 12, '18']","[17, 43, '49']","[18, 76, '90']","[19, 108, '122']",[0]
"[19, 121, '135']","[16, 14, '20']","[17, 34, '40']","[18, 84, '98']",[0]
"[19, 103, '117']","[15, 86, '100']","[17, 135, 'EC']","[18, 83, '97']",[0]
"[18, 69, '83']","[16, 4, '5']","[17, 47, '57']","[19, 100, '114']",[0]
"[19, 91, '105']","[16, 21, '27']","[17, 35, '41']","[18, 61, '75']",[0]
"[18, 58, '68']","[16, 15, '21']","[17, 36, '42']","[19, 92, '106']",[0]
"[17, 41, '47']","[16, 16, '22']","[18, 79, '93']","[19, 114, '128']",[0]
"[18, 65, '79']","[16, 3, '4']","[17, 54, '64']","[19, 120, '134']",[0]
